country_,gdp_mean,gdp_sum,biofuel_cons_change_pct_mean,biofuel_cons_change_pct_sum,biofuel_share_elec_mean,biofuel_share_elec_sum,biofuel_share_energy_mean,biofuel_share_energy_sum,hydro_cons_change_pct_mean,hydro_cons_change_pct_sum,hydro_share_elec_mean,hydro_share_elec_sum,hydro_share_energy_mean,hydro_share_energy_sum,nuclear_cons_change_pct_mean,nuclear_cons_change_pct_sum,nuclear_share_elec_mean,nuclear_share_elec_sum,nuclear_share_energy_mean,nuclear_share_energy_sum,solar_cons_change_pct_mean,solar_cons_change_pct_sum,solar_share_elec_mean,solar_share_elec_sum,solar_share_energy_mean,solar_share_energy_sum,wind_cons_change_pct_mean,wind_cons_change_pct_sum,wind_share_elec_mean,wind_share_elec_sum,wind_share_energy_mean,wind_share_energy_sum,fossil_cons_change_pct_mean,fossil_cons_change_pct_sum,fossil_share_energy_mean,fossil_share_energy_sum,fossil_share_elec_mean,fossil_share_elec_sum,renewables_cons_change_pct_mean,renewables_cons_change_pct_sum,renewables_share_energy_mean,renewables_share_energy_sum,renewables_share_elec_mean,renewables_share_elec_sum
Afghanistan,67594969088.0,270379876352.0,,0.0,0.0,0.0,,0.0,,0.0,77.54775,310.191,,0.0,,0.0,0.0,0.0,,0.0,,0.0,6.30775,25.231,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,16.144750000000002,64.57900000000001,,0.0,,0.0,83.85525,335.421
Albania,34009112576.0,136036450304.0,,0.0,0.0,0.0,,0.0,,0.0,99.56675,398.267,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.43325,1.733,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,100.0,400.0
Algeria,590318000000.0,2951590000000.0,,0.0,0.0,0.0,,0.0,143.1634,715.817,0.1262,0.631,0.0312,0.156,,0.0,0.0,0.0,0.0,0.0,6.525,32.625,0.897,4.485,0.251,1.255,-6.800800000000001,-34.004000000000005,0.013000000000000001,0.065,0.0038,0.019,2.0418,10.209,99.7138,498.569,98.897,494.485,6.5274,32.637,0.286,1.43,1.036,5.18
American Samoa,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,100.0,400.0,,0.0,,0.0,0.0,0.0
Angola,175930000000.0,879650000000.0,,0.0,0.8065999999999999,4.0329999999999995,,0.0,,0.0,71.7818,358.909,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.1302,0.651,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,27.2814,136.407,,0.0,,0.0,72.71860000000001,363.593
Antigua and Barbuda,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,4.4365000000000006,17.746000000000002,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,95.5635,382.254,,0.0,,0.0,4.4365000000000006,17.746000000000002
Argentina,829373000000.0,4146865000000.0,-1.3972000000000009,-6.986000000000004,1.3198,6.599,1.4609999999999999,7.305,-4.394,-21.97,18.569,92.845,7.0374,35.187,5.8682,29.340999999999998,6.005599999999999,30.028,2.2974,11.487,272.70799999999997,1363.54,1.027,5.135,0.4048,2.024,103.9932,519.966,5.986,29.93,2.3672,11.836,-0.035800000000000054,-0.17900000000000027,85.7788,428.894,67.092,335.46,2.4338,12.169,11.9238,59.619,26.901999999999997,134.51
Armenia,33296515072.0,133186060288.0,,0.0,0.0,0.0,,0.0,,0.0,29.2925,117.17,,0.0,,0.0,28.2635,113.054,,0.0,,0.0,1.0505,4.202,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,41.39375,165.575,,0.0,,0.0,30.342750000000002,121.37100000000001
Aruba,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,1.09925,4.397,,0.0,,0.0,15.39125,61.565,,0.0,,0.0,,0.0,83.5095,334.038,,0.0,,0.0,16.4905,65.962
Australia,1238559621120.0,6192798105600.0,-5.674799999999999,-28.374,1.285,6.425,0.0852,0.426,6.0074,30.037,6.1208,30.604,2.5420000000000003,12.71,,0.0,0.0,0.0,0.0,0.0,34.4628,172.314,8.814,44.07,4.0085999999999995,20.043,19.1178,95.589,8.8724,44.362,3.7628,18.814,-0.9228,-4.614,88.93260000000001,444.663,74.9074,374.537,17.6682,88.341,11.067400000000001,55.337,25.092599999999997,125.463
Austria,382269000000.0,1911345000000.0,-2.787,-13.934999999999999,6.615600000000001,33.078,1.3038,6.519,-1.2802,-6.401,57.9664,289.832,25.2742,126.371,,0.0,0.0,0.0,0.0,0.0,20.707600000000003,103.53800000000001,3.1927999999999996,15.963999999999999,1.466,7.33,2.6412,13.206,10.0758,50.379,4.4502,22.250999999999998,-2.2394,-11.197,63.81,319.05,22.1494,110.747,-0.3136,-1.568,36.19,180.95,77.85060000000001,389.25300000000004
Azerbaijan,160426000000.0,802130000000.0,,0.0,0.0,0.0,,0.0,0.4756,2.378,5.6798,28.399,2.0814,10.407,,0.0,0.0,0.0,0.0,0.0,10.4458,52.229,0.18719999999999998,0.9359999999999999,0.0698,0.349,55.81600000000001,279.08000000000004,0.3564,1.782,0.131,0.655,3.1718,15.859,97.5528,487.764,93.8946,469.473,1.113,5.5649999999999995,2.4472,12.236,6.2938,31.469
Bahamas,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,100.0,400.0,,0.0,,0.0,0.0,0.0
Bahrain,62559305728.0,312796528640.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.032600000000000004,0.163,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,99.9674,499.837,,0.0,,0.0,0.032600000000000004,0.163
Bangladesh,686522000000.0,3432610000000.0,,0.0,0.0382,0.191,,0.0,-4.9452,-24.726,1.1640000000000001,5.82,0.43220000000000003,2.161,,0.0,0.0,0.0,0.0,0.0,21.875999999999998,109.38,0.5309999999999999,2.655,0.2474,1.237,0.00020000000000000017,0.0010000000000000009,0.0128,0.064,0.003,0.015,4.4962,22.481,99.315,496.575,98.25399999999999,491.27,2.7481999999999998,13.740999999999998,0.6849999999999999,3.425,1.746,8.73
